,id,results,revisions,comments,inline_comments,status,is_accepted,url,commit_message,exist_target_file,added_satd,is_added_satd,deleted_satd,is_deleted_satd,added_and_deleted_satd
0,164,"[{'revision': 1, 'changed_files': []}, {'revision': 2, 'changed_files': []}]",2,2,0,MERGED,True,https://review.opendev.org/#/c/164,Fixes bug lp:821296,False,{},False,{},False,{}
1,146,"[{'revision': 1, 'changed_files': [{'a_comments': [], 'b_comments': [{'start_line': 40, 'end_line': 40, 'comment': ""# This file is automatically generated by setup.py, So don't edit it. :)"", 'include_SATD': False}], 'filename': 'setup.py'}]}]",1,2,0,MERGED,True,https://review.opendev.org/#/c/146,Changed setup.py to pull version info from git.,True,{},False,{},False,{}
2,156,"[{'revision': 1, 'changed_files': [{'a_comments': [{'start_line': 208, 'end_line': 210, 'comment': ""# TODO(sirp): snet=False for now, however, if the instance of # swift we're talking to is within our same region, we should set # snet=True"", 'include_SATD': True}, {'start_line': 331, 'end_line': 333, 'comment': ""# TODO(sirp): snet=False for now, however, if the instance of # swift we're talking to is within our same region, we should set # snet=True"", 'include_SATD': True}], 'b_comments': [], 'filename': 'glance/store/swift.py'}]}, {'revision': 2, 'changed_files': [{'a_comments': [{'start_line': 208, 'end_line': 210, 'comment': ""# TODO(sirp): snet=False for now, however, if the instance of # swift we're talking to is within our same region, we should set # snet=True"", 'include_SATD': True}, {'start_line': 331, 'end_line': 333, 'comment': ""# TODO(sirp): snet=False for now, however, if the instance of # swift we're talking to is within our same region, we should set # snet=True"", 'include_SATD': True}], 'b_comments': [], 'filename': 'glance/store/swift.py'}]}]",2,6,4,MERGED,True,https://review.opendev.org/#/c/156,Adds swift_enable_snet config,True,{},False,"{""# TODO(sirp): snet=False for now, however, if the instance of # swift we're talking to is within our same region, we should set # snet=True"": 1}",True,{}
3,165,"[{'revision': 1, 'changed_files': []}]",1,2,0,ABANDONED,False,https://review.opendev.org/#/c/165,Adding snet description,False,{},False,{},False,{}
4,158,"[{'revision': 1, 'changed_files': [{'a_comments': [], 'b_comments': [], 'filename': 'tools/install_venv.py'}]}]",1,2,0,MERGED,True,https://review.opendev.org/#/c/158,Detect python version in install_venv,True,{},False,{},False,{}
5,199,"[{'revision': 1, 'changed_files': [{'a_comments': [], 'b_comments': [], 'filename': 'glance/api/v1/images.py'}, {'a_comments': [], 'b_comments': [], 'filename': 'glance/tests/functional/test_bin_glance.py'}]}, {'revision': 2, 'changed_files': [{'a_comments': [], 'b_comments': [], 'filename': 'glance/api/v1/images.py'}, {'a_comments': [], 'b_comments': [], 'filename': 'glance/tests/functional/test_bin_glance.py'}]}]",2,7,0,MERGED,True,https://review.opendev.org/#/c/199,Improves logging by including traceback,True,{},False,{},False,{}
6,170,"[{'revision': 1, 'changed_files': [{'a_comments': [], 'b_comments': [{'start_line': 168, 'end_line': 168, 'comment': '# if no value is configured, provide a sane default', 'include_SATD': False}], 'filename': 'glance/registry/server.py'}, {'a_comments': [], 'b_comments': [], 'filename': 'glance/tests/functional/__init__.py'}]}, {'revision': 2, 'changed_files': [{'a_comments': [], 'b_comments': [{'start_line': 168, 'end_line': 168, 'comment': '# if no value is configured, provide a sane default', 'include_SATD': False}], 'filename': 'glance/registry/server.py'}, {'a_comments': [], 'b_comments': [], 'filename': 'glance/tests/functional/__init__.py'}]}]",2,5,1,MERGED,True,https://review.opendev.org/#/c/170,breaking up MAX_ITEM_LIMIT and making the new values configurable,True,{},False,{},False,{}
7,176,"[{'revision': 1, 'changed_files': [{'a_comments': [], 'b_comments': [], 'filename': 'glance/common/exception.py'}, {'a_comments': [], 'b_comments': [], 'filename': 'run_tests.py'}, {'a_comments': [], 'b_comments': [{'start_line': 23, 'end_line': 27, 'comment': ""# In order to run the i18n commands for compiling and # installing message catalogs, we use DistUtilsExtra. # Don't make this a hard requirement, but warn that # i18n commands won't be available if DistUtilsExtra is # not installed..."", 'include_SATD': False}], 'filename': 'setup.py'}]}, {'revision': 2, 'changed_files': [{'a_comments': [], 'b_comments': [], 'filename': 'glance/common/exception.py'}, {'a_comments': [], 'b_comments': [], 'filename': 'run_tests.py'}, {'a_comments': [], 'b_comments': [{'start_line': 23, 'end_line': 27, 'comment': ""# In order to run the i18n commands for compiling and # installing message catalogs, we use DistUtilsExtra. # Don't make this a hard requirement, but warn that # i18n commands won't be available if DistUtilsExtra is # not installed..."", 'include_SATD': False}], 'filename': 'setup.py'}]}, {'revision': 3, 'changed_files': [{'a_comments': [], 'b_comments': [], 'filename': 'glance/common/exception.py'}, {'a_comments': [], 'b_comments': [], 'filename': 'run_tests.py'}, {'a_comments': [], 'b_comments': [{'start_line': 23, 'end_line': 27, 'comment': ""# In order to run the i18n commands for compiling and # installing message catalogs, we use DistUtilsExtra. # Don't make this a hard requirement, but warn that # i18n commands won't be available if DistUtilsExtra is # not installed..."", 'include_SATD': False}], 'filename': 'setup.py'}]}]",3,16,3,MERGED,True,https://review.opendev.org/#/c/176,Addresses glance/+spec/i18n,True,{},False,{},False,{}
8,180,"[{'revision': 1, 'changed_files': [{'a_comments': [], 'b_comments': [{'start_line': 1124, 'end_line': 1125, 'comment': '# 0. GET /images # Verify no public images', 'include_SATD': False}, {'start_line': 1132, 'end_line': 1133, 'comment': '# 1. DELETE /images/1 # Verify 404 returned', 'include_SATD': False}], 'filename': 'glance/tests/functional/test_api.py'}, {'a_comments': [{'start_line': 51, 'end_line': 51, 'comment': '# to override the location of the config file for migration testing', 'include_SATD': False}, {'start_line': 173, 'end_line': 174, 'comment': '# 0. GET /images/1 # Verify 404 returned', 'include_SATD': False}, {'start_line': 184, 'end_line': 185, 'comment': '# 1. DELETE /images/1 # Verify 404 returned', 'include_SATD': False}], 'b_comments': [], 'filename': 'glance/tests/functional/test_s3.py'}, {'a_comments': [], 'b_comments': [{'start_line': 0, 'end_line': 0, 'comment': '# vim: tabstop=4 shiftwidth=4 softtabstop=4', 'include_SATD': False}, {'start_line': 2, 'end_line': 15, 'comment': '# Copyright 2011 OpenStack, LLC # All Rights Reserved. # #    Licensed under the Apache License, Version 2.0 (the ""License""); you may #    not use this file except in compliance with the License. You may obtain #    a copy of the License at # #         httpwww.apache.org/licenses/LICENSE-2.0 # #    Unless required by applicable law or agreed to in writing, software #    distributed under the License is distributed on an ""AS IS"" BASIS, WITHOUT #    WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the #    License for the specific language governing permissions and limitations #    under the License.', 'include_SATD': False}, {'start_line': 46, 'end_line': 47, 'comment': '# Test machines can set the GLANCE_TEST_SWIFT_CONF variable # to override the location of the config file for migration testing', 'include_SATD': False}], 'filename': 'glance/tests/functional/test_swift.py'}]}]",1,2,0,MERGED,True,https://review.opendev.org/#/c/180,"Consolidates the functional API test cases into /glance/tests/functional/test_api.py, adds a new Swift functional test case, verified that it works on Cloud Files with a test account.",True,{},False,{},False,{}
9,177,"[{'revision': 1, 'changed_files': [{'a_comments': [{'start_line': 279, 'end_line': 281, 'comment': '# We destroy the test data store between each test case, # and recreate it, which ensures that we have no side-effects # from the tests', 'include_SATD': False}], 'b_comments': [{'start_line': 282, 'end_line': 284, 'comment': '# We destroy the test data store between each test case, # and recreate it, which ensures that we have no side-effects # from the tests', 'include_SATD': False}], 'filename': 'glance/tests/functional/__init__.py'}, {'a_comments': [], 'b_comments': [], 'filename': 'glance/tests/functional/test_api.py'}, {'a_comments': [{'start_line': 49, 'end_line': 49, 'comment': '# Test machines can set the GLANCE_TEST_MIGRATIONS_CONF variable', 'include_SATD': False}, {'start_line': 191, 'end_line': 192, 'comment': '# 0. GET /images # Verify no public images', 'include_SATD': False}, {'start_line': 200, 'end_line': 201, 'comment': '# 1. GET /images/detail # Verify no public images', 'include_SATD': False}, {'start_line': 209, 'end_line': 210, 'comment': '# 2. HEAD /images/1 # Verify 404 returned', 'include_SATD': False}, {'start_line': 222, 'end_line': 223, 'comment': '# 3. POST /images with public image named Image1 # attribute and no custom properties. Verify a 200 OK is returned', 'include_SATD': False}, {'start_line': 227, 'end_line': 227, 'comment': '# Necessary otherwise sends 100 Continue', 'include_SATD': False}, {'start_line': 242, 'end_line': 243, 'comment': '# 4. HEAD /images # Verify image found now', 'include_SATD': False}, {'start_line': 256, 'end_line': 257, 'comment': '# 5. GET /images/1 # Verify all information on image we just added is correct', 'include_SATD': False}, {'start_line': 269, 'end_line': 269, 'comment': '# Handle the headers', 'include_SATD': False}, {'start_line': 327, 'end_line': 327, 'comment': '# Now the image data...', 'include_SATD': False}, {'start_line': 330, 'end_line': 331, 'comment': '# Should only be a single ""line"" left, and # that\'s the image data', 'include_SATD': False}, {'start_line': 335, 'end_line': 336, 'comment': '# 6. GET /images # Verify no public images', 'include_SATD': False}, {'start_line': 352, 'end_line': 353, 'comment': '# 7. GET /images/detail # Verify image and all its metadata', 'include_SATD': False}, {'start_line': 389, 'end_line': 390, 'comment': '# 8. PUT /images/1 with custom properties of ""distro"" and ""arch"" # Verify 200 returned', 'include_SATD': False}, {'start_line': 405, 'end_line': 406, 'comment': '# 9. GET /images/detail # Verify image and all its metadata', 'include_SATD': False}, {'start_line': 442, 'end_line': 442, 'comment': '# 10. PUT /images/1 and remove a previously existing property.', 'include_SATD': False}, {'start_line': 465, 'end_line': 465, 'comment': '# 11. PUT /images/1 and add a previously deleted property.', 'include_SATD': False}], 'b_comments': [{'start_line': 50, 'end_line': 50, 'comment': '# Test machines can set the GLANCE_TEST_S3_CONF variable', 'include_SATD': False}], 'filename': 'glance/tests/functional/test_s3.py'}, {'a_comments': [], 'b_comments': [], 'filename': 'glance/tests/utils.py'}]}]",1,5,0,MERGED,True,https://review.opendev.org/#/c/177,Add @skip_if_disabled decorator to test.utils and integrate it into the base functional API test case. The S3 functional test case now uses test_api.TestApi as its base class and the setUp() method sets the disabled and disabled_message attributes that th,True,{},False,{},False,{}
