NUMBER,Del_include?,Add_include?,SATD,sub_name,broken?
552,3,8,SATD_have,openstack/nova,0
573,1,2,SATD_have,openstack/nova,0
575,0,1,SATD_have,openstack/nova,0
579,1,0,SATD_have,openstack/nova,0
580,0,1,SATD_have,openstack/nova,0
581,1,0,SATD_have,openstack/nova,0
584,1,0,SATD_have,openstack/nova,0
587,0,1,SATD_have,openstack/nova,0
592,1,1,SATD_have,openstack/nova,0
593,0,3,SATD_have,openstack/nova,0
604,0,2,SATD_have,openstack/nova,0
607,1,0,SATD_have,openstack/nova,0
618,1,0,SATD_have,openstack/nova,0
620,3,8,SATD_have,openstack/nova,0
628,2,2,SATD_have,openstack/nova,0
629,1,0,SATD_have,openstack/nova,0
640,3,2,SATD_have,openstack/nova,0
641,0,1,SATD_have,openstack/nova,0
646,0,2,SATD_have,openstack/nova,0
651,1,0,SATD_have,openstack/nova,0
656,0,4,SATD_have,openstack/nova,0
675,0,1,SATD_have,openstack/nova,0
688,0,1,SATD_have,openstack/nova,0
693,0,2,SATD_have,openstack/nova,0
697,1,2,SATD_have,openstack/nova,0
716,0,1,SATD_have,openstack/nova,0
746,0,1,SATD_have,openstack/nova,0
761,0,2,SATD_have,openstack/nova,0
776,0,9,SATD_have,openstack/nova,0
801,0,1,SATD_have,openstack/nova,0
802,0,1,SATD_have,openstack/nova,0
809,2,1,SATD_have,openstack/nova,0
828,1,1,SATD_have,openstack/nova,0
830,3,1,SATD_have,openstack/nova,0
834,1,1,SATD_have,openstack/nova,0
840,2,0,SATD_have,openstack/nova,0
859,0,3,SATD_have,openstack/nova,0
872,0,1,SATD_have,openstack/nova,0
877,1,4,SATD_have,openstack/nova,0
878,1,0,SATD_have,openstack/nova,0
879,1,0,SATD_have,openstack/nova,0
881,1,0,SATD_have,openstack/nova,0
882,1,0,SATD_have,openstack/nova,0
892,5,0,SATD_have,openstack/nova,0
897,0,3,SATD_have,openstack/nova,0
900,1,3,SATD_have,openstack/nova,0
914,1,3,SATD_have,openstack/nova,0
915,0,1,SATD_have,openstack/nova,0
916,3,9,SATD_have,openstack/nova,0
935,1,0,SATD_have,openstack/nova,0
956,0,1,SATD_have,openstack/nova,0
964,1,0,SATD_have,openstack/nova,0
967,1,1,SATD_have,openstack/nova,0
976,0,1,SATD_have,openstack/nova,0
978,1,7,SATD_have,openstack/nova,0
988,0,2,SATD_have,openstack/nova,0
999,1,2,SATD_have,openstack/nova,0
1043,2,5,SATD_have,openstack/nova,0
1079,0,1,SATD_have,openstack/nova,0
1080,1,2,SATD_have,openstack/nova,0
1132,0,1,SATD_have,openstack/nova,0
1166,2,2,SATD_have,openstack/nova,0
1167,1,0,SATD_have,openstack/nova,0
1171,1,1,SATD_have,openstack/nova,0
1177,2,1,SATD_have,openstack/nova,0
1178,1,0,SATD_have,openstack/nova,0
1183,1,0,SATD_have,openstack/nova,0
1192,7,3,SATD_have,openstack/nova,0
1194,1,0,SATD_have,openstack/nova,0
1213,0,1,SATD_have,openstack/nova,0
1219,0,2,SATD_have,openstack/nova,0
1279,0,1,SATD_have,openstack/nova,0
1366,1,1,SATD_have,openstack/nova,0
1367,0,1,SATD_have,openstack/nova,0
1373,4,3,SATD_have,openstack/nova,0
1401,1,1,SATD_have,openstack/nova,0
1402,0,3,SATD_have,openstack/nova,0
1432,0,1,SATD_have,openstack/nova,0
1477,1,2,SATD_have,openstack/nova,0
1494,1,0,SATD_have,openstack/nova,0
1543,1,1,SATD_have,openstack/nova,0
1553,0,1,SATD_have,openstack/nova,0
1573,0,1,SATD_have,openstack/nova,0
1594,0,1,SATD_have,openstack/nova,0
1597,0,1,SATD_have,openstack/nova,0
1605,0,1,SATD_have,openstack/nova,0
1606,0,1,SATD_have,openstack/nova,0
1626,0,2,SATD_have,openstack/nova,0
1629,0,29,SATD_have,openstack/nova,0
1695,2,0,SATD_have,openstack/nova,0
1760,0,1,SATD_have,openstack/nova,0
1766,1,1,SATD_have,openstack/nova,0
1791,1,1,SATD_have,openstack/nova,0
1800,0,2,SATD_have,openstack/nova,0
1821,1,0,SATD_have,openstack/nova,0
1823,0,1,SATD_have,openstack/nova,0
1860,1,1,SATD_have,openstack/nova,0
1899,0,2,SATD_have,openstack/nova,0
1907,1,0,SATD_have,openstack/nova,0
1917,4,1,SATD_have,openstack/nova,0
1934,1,0,SATD_have,openstack/nova,0
1940,1,0,SATD_have,openstack/nova,0
1956,4,1,SATD_have,openstack/nova,0
1993,0,3,SATD_have,openstack/nova,0
1994,0,2,SATD_have,openstack/nova,0
2003,3,1,SATD_have,openstack/nova,0
2004,3,1,SATD_have,openstack/nova,0
2007,1,2,SATD_have,openstack/nova,0
