NUMBER,Del_include?,Add_include?,SATD,sub_name,broken?
742,0,0,SATD_have,qt/qtdeclarative,1
793,0,0,SATD_have,qt/qtdeclarative,1
930,0,0,SATD_have,qt/qtdeclarative,1
939,0,0,SATD_have,qt/qtdeclarative,1
967,0,0,SATD_have,qt/qtqa,1
968,0,0,SATD_have,qt/qtdeclarative,1
969,0,0,SATD_have,qt/qtdeclarative,1
985,0,0,SATD_have,qt/qtdeclarative,1
989,0,0,SATD_have,qt/qtdeclarative,1
1028,0,0,SATD_have,qt/qtdeclarative,1
1060,0,0,SATD_have,qt/qtdeclarative,1
1163,0,0,SATD_have,qt/qtqa,1
1197,0,0,SATD_have,qt/qtqa,1
1200,0,0,SATD_have,qt/qtdeclarative,1
1341,0,0,SATD_have,qt/qtdeclarative,1
1388,0,0,SATD_have,qt/qtdeclarative,1
1465,0,0,SATD_have,qt/qtdeclarative,1
1466,0,0,SATD_have,qt/qtdeclarative,1
1471,0,0,SATD_have,qt/qtdeclarative,1
1479,0,0,SATD_have,qt/qtdeclarative,1
1626,0,0,SATD_have,qt/qtdeclarative,1
1634,0,0,SATD_have,qt/qtlocation,1
1675,0,0,SATD_have,qt/qtdeclarative,1
1681,0,0,SATD_have,qt/qtdeclarative,1
1909,0,0,SATD_have,qt/qtdeclarative,1
1913,0,0,SATD_have,qt/qtdeclarative,1
1950,0,0,SATD_have,qt/qtdeclarative,1
1951,0,0,SATD_have,qt/qtdeclarative,1
1962,0,0,SATD_have,qt/qtdeclarative,1
1964,0,0,SATD_have,qt/qtdeclarative,1
2012,0,0,SATD_have,qt/qtlocation,1
2014,0,0,SATD_have,qt/qtlocation,1
2015,0,0,SATD_have,qt/qtlocation,1
2024,0,0,SATD_have,qt/qtdeclarative,1
2054,0,0,SATD_have,qt/qtdeclarative,1
2075,0,0,SATD_have,qt/qtdeclarative,1
2129,0,0,SATD_have,qt/qtqa,1
2145,0,0,SATD_have,qt/qtdeclarative,1
2209,0,0,SATD_have,qt/qtdeclarative,1
2256,0,0,SATD_have,qt/qttools,1
2261,0,0,SATD_have,qt/qtdeclarative,1
2262,0,0,SATD_have,qt/qtdeclarative,1
2270,0,0,SATD_have,qt/qtdeclarative,1
2274,0,0,SATD_have,qt/qtdeclarative,1
2291,0,0,SATD_have,qt/qtdeclarative,1
2299,0,0,SATD_have,qt/qtdeclarative,1
2310,0,0,SATD_have,qt/qtdeclarative,1
2317,0,0,SATD_have,qt/qtdeclarative,1
2333,0,0,SATD_have,qt/qtdeclarative,1
2361,0,0,SATD_have,qt/qtdeclarative,1
2378,0,0,SATD_have,qt/qtsensors,1
2398,0,0,SATD_have,qt/qtdeclarative,1
2412,0,0,SATD_have,qt/qtsensors,1
2420,0,0,SATD_have,qt/qtdeclarative,1
2430,0,0,SATD_have,qt/qtdeclarative,1
2439,0,0,SATD_have,qt/qtdeclarative,1
2440,0,0,SATD_have,qt/qtdeclarative,1
2485,0,0,SATD_have,qt/qtdeclarative,1
2512,0,0,SATD_have,qt/qtdeclarative,1
2536,0,0,SATD_have,qt/qtlocation,1
2537,0,0,SATD_have,qt/qtlocation,1
2614,0,0,SATD_have,qt/qtdeclarative,1
2675,0,0,SATD_have,qt/qtdeclarative,1
2676,0,0,SATD_have,qt/qtdeclarative,1
2677,0,0,SATD_have,qt/qtdeclarative,1
2710,0,0,SATD_have,qt/qtlocation,1
2720,0,0,SATD_have,qt/qtdeclarative,1
2735,0,0,SATD_have,qt/qtdeclarative,1
2742,0,0,SATD_have,qt/qtdeclarative,1
2755,0,0,SATD_have,qt/qtdeclarative,1
