id,line,log_line
146,30,3.401197382
156,58,4.060443011
158,12,2.48490665
164,2,0.693147181
165,1,0
170,32,3.465735903
176,69,4.234106505
177,452,6.11368218
180,231,5.442417711
184,664,6.498282149
185,62,4.127134385
188,42,3.737669618
190,1875,7.536363938
192,445,6.098074282
199,23,3.135494216
200,445,6.098074282
201,1842,7.518607217
213,58,4.060443011
217,38,3.63758616
226,6,1.791759469
229,5,1.609437912
277,177,5.176149733
286,136,4.912654886
295,375,5.926926026
302,325,5.783825182
311,513,6.240275845
327,4,1.386294361
331,4,1.386294361
332,36,3.583518938
333,1989,7.595387279
340,28,3.33220451
343,4,1.386294361
344,4,1.386294361
345,36,3.583518938
346,513,6.240275845
348,28,3.33220451
350,446,6.100318952
352,25,3.218875825
361,38,3.63758616
367,32,3.465735903
368,8,2.079441542
374,9,2.197224577
377,33,3.496507561
379,136,4.912654886
386,536,6.284134161
388,45,3.80666249
389,99,4.59511985
391,24,3.17805383
392,2,0.693147181
397,81,4.394449155
398,341,5.831882477
407,2,0.693147181
411,1,0
412,53,3.970291914
418,32,3.465735903
421,2,0.693147181
425,446,6.100318952
427,11554,9.354786976
429,349,5.855071922
433,138,4.927253685
443,2,0.693147181
449,4,1.386294361
451,83,4.418840608
452,350,5.857933154
453,4,1.386294361
454,1,0
455,91,4.510859507
457,15,2.708050201
458,311,5.739792912
465,86,4.454347296
468,136,4.912654886
469,13,2.564949357
472,110,4.700480366
473,15,2.708050201
474,132,4.882801923
475,18,2.890371758
476,18,2.890371758
477,86,4.454347296
482,57,4.043051268
483,57,4.043051268
499,64,4.158883083
500,47,3.850147602
508,91,4.510859507
509,349,5.855071922
510,2,0.693147181
511,2,0.693147181
512,47,3.850147602
515,24,3.17805383
522,34,3.526360525
540,99,4.59511985
542,148,4.997212274
543,2,0.693147181
545,17,2.833213344
548,153,5.030437921
550,110,4.700480366
552,1926,7.563200592
553,145,4.976733742
554,92,4.521788577
555,340,5.828945618
556,4,1.386294361
557,4,1.386294361
558,86,4.454347296
559,328,5.793013608
560,48,3.871201011
561,17,2.833213344
562,202,5.308267697
563,1,0
564,1,0
565,46,3.828641396
566,6,1.791759469
567,5,1.609437912
568,23,3.135494216
569,69,4.234106505
570,24,3.17805383
571,18,2.890371758
572,49,3.891820298
573,132,4.882801923
574,2,0.693147181
575,6,1.791759469
576,25,3.218875825
577,3,1.098612289
579,95,4.553876892
580,74,4.304065093
581,84,4.430816799
582,48,3.871201011
583,137,4.919980926
584,94,4.543294782
585,4,1.386294361
587,160,5.075173815
588,56,4.025351691
589,125,4.828313737
590,36,3.583518938
591,21,3.044522438
592,207,5.332718793
593,61,4.110873864
594,4,1.386294361
595,1,0
596,12,2.48490665
597,17,2.833213344
598,2,0.693147181
599,74,4.304065093
602,34,3.526360525
603,32,3.465735903
604,63,4.143134726
605,20,2.995732274
606,8,2.079441542
607,59,4.077537444
608,7,1.945910149
609,5,1.609437912
610,24,3.17805383
611,8,2.079441542
614,4,1.386294361
615,8,2.079441542
616,66,4.189654742
617,2,0.693147181
618,768,6.643789733
619,11,2.397895273
620,1928,7.564238475
621,688,6.533788838
622,344,5.840641657
623,3,1.098612289
624,47,3.850147602
625,278,5.627621114
626,143,4.96284463
627,61,4.110873864
628,764,6.638567789
629,389,5.963579344
630,7,1.945910149
631,17,2.833213344
633,61,4.110873864
634,42,3.737669618
635,2,0.693147181
636,55,4.007333185
637,110,4.700480366
638,13,2.564949357
640,3022,8.013674143
641,723,6.583409222
642,3,1.098612289
643,53,3.970291914
644,70,4.248495242
646,4639,8.442254105
647,45,3.80666249
648,4,1.386294361
649,399,5.988961417
651,5,1.609437912
655,15047,9.618933915
656,589,6.378426184
658,30,3.401197382
659,20,2.995732274
660,2,0.693147181
662,34,3.526360525
664,29,3.36729583
665,187,5.231108617
666,1,0
670,102,4.624972813
671,1764,7.475339237
672,89,4.48863637
674,7,1.945910149
675,1257,7.136483209
676,13,2.564949357
677,33,3.496507561
678,40,3.688879454
679,39,3.663561646
680,2,0.693147181
681,98,4.584967479
682,107,4.672828834
683,6,1.791759469
684,464,6.139884552
686,93,4.532599493
688,208,5.33753808
689,419,6.03787092
693,386,5.955837369
695,104,4.644390899
696,233,5.451038454
697,91,4.510859507
698,81,4.394449155
700,2,0.693147181
701,2,0.693147181
702,81,4.394449155
703,3,1.098612289
704,159,5.068904202
706,357,5.877735782
707,2,0.693147181
708,2,0.693147181
709,20,2.995732274
712,67,4.204692619
716,59,4.077537444
717,8,2.079441542
721,349,5.855071922
724,28,3.33220451
726,45,3.80666249
728,22,3.091042453
729,2,0.693147181
730,1503,7.31521839
732,13,2.564949357
733,3,1.098612289
734,2,0.693147181
735,2,0.693147181
