id,line,log_line
112,4,1.386294361
113,2,0.693147181
115,30,3.401197382
116,67,4.204692619
123,11,2.397895273
124,7,1.945910149
125,7,1.945910149
126,7,1.945910149
128,38,3.63758616
129,19,2.944438979
133,2,0.693147181
137,6,1.791759469
138,4,1.386294361
139,12,2.48490665
140,22,3.091042453
141,6,1.791759469
142,275,5.616771098
143,8,2.079441542
144,21,3.044522438
145,2,0.693147181
153,4,1.386294361
155,632,6.448889394
156,26,3.258096538
157,17,2.833213344
158,3,1.098612289
159,43,3.761200116
160,2,0.693147181
161,6,1.791759469
162,9,2.197224577
163,16,2.772588722
164,5,1.609437912
165,154,5.036952602
166,153,5.030437921
167,119,4.779123493
168,128,4.852030264
169,64,4.158883083
170,10,2.302585093
171,8,2.079441542
173,8,2.079441542
174,2,0.693147181
182,5,1.609437912
195,21,3.044522438
196,114,4.736198448
197,5,1.609437912
198,2,0.693147181
224,6,1.791759469
228,12,2.48490665
229,2,0.693147181
230,11,2.397895273
231,7,1.945910149
232,80,4.382026635
233,16,2.772588722
234,581,6.364750757
235,8,2.079441542
236,3,1.098612289
237,195,5.272999559
238,43,3.761200116
239,2,0.693147181
275,16,2.772588722
290,4,1.386294361
291,4,1.386294361
292,2,0.693147181
298,121,4.795790546
302,58,4.060443011
304,34,3.526360525
305,1,0
320,4,1.386294361
321,143,4.96284463
324,94,4.543294782
325,26,3.258096538
326,6,1.791759469
328,5,1.609437912
329,4,1.386294361
331,39,3.663561646
333,311,5.739792912
334,4,1.386294361
336,2,0.693147181
342,243,5.493061443
358,53,3.970291914
359,53,3.970291914
368,5,1.609437912
371,318,5.762051383
374,8,2.079441542
375,2,0.693147181
376,6,1.791759469
378,118,4.770684624
379,2,0.693147181
406,2,0.693147181
407,2,0.693147181
408,1210,7.098375639
411,116,4.753590191
412,23,3.135494216
413,16,2.772588722
415,2,0.693147181
420,2,0.693147181
421,321,5.771441123
422,2,0.693147181
431,32,3.465735903
432,4,1.386294361
442,20,2.995732274
445,28,3.33220451
446,25,3.218875825
447,67,4.204692619
448,2,0.693147181
449,2,0.693147181
464,18,2.890371758
465,2,0.693147181
466,3,1.098612289
487,20,2.995732274
491,2,0.693147181
492,15,2.708050201
495,4,1.386294361
505,24,3.17805383
506,2,0.693147181
507,2,0.693147181
508,98,4.584967479
512,29,3.36729583
513,51,3.931825633
532,2,0.693147181
533,12,2.48490665
537,7,1.945910149
549,6,1.791759469
551,42,3.737669618
552,57,4.043051268
553,1,0
554,4,1.386294361
555,56,4.025351691
558,755,6.626717749
568,7,1.945910149
579,83,4.418840608
581,2,0.693147181
590,86,4.454347296
597,33,3.496507561
599,13,2.564949357
600,18,2.890371758
603,61,4.110873864
604,6,1.791759469
605,5,1.609437912
607,21,3.044522438
608,161,5.081404365
609,2,0.693147181
610,4,1.386294361
616,51,3.931825633
618,25,3.218875825
619,55,4.007333185
623,28,3.33220451
627,11,2.397895273
636,16,2.772588722
638,61,4.110873864
644,2517,7.830822995
649,16,2.772588722
655,25,3.218875825
657,102,4.624972813
658,16,2.772588722
659,137,4.919980926
660,22,3.091042453
661,5,1.609437912
662,261,5.564520407
663,297,5.693732139
664,4,1.386294361
665,280,5.634789603
669,201,5.303304908
670,116,4.753590191
671,131,4.875197323
672,25,3.218875825
673,71,4.262679877
682,49,3.891820298
683,34,3.526360525
684,22,3.091042453
685,33,3.496507561
686,34,3.526360525
687,45,3.80666249
693,3,1.098612289
711,16,2.772588722
728,5,1.609437912
729,2,0.693147181
732,43,3.761200116
733,119,4.779123493
738,4,1.386294361
739,50,3.912023005
741,35,3.555348061
742,710,6.56526497
743,4,1.386294361
751,16,2.772588722
752,13,2.564949357
755,2,0.693147181
760,4,1.386294361
762,2,0.693147181
763,107,4.672828834
764,16,2.772588722
766,120,4.787491743
769,29,3.36729583
772,6,1.791759469
773,16,2.772588722
774,26,3.258096538
790,66,4.189654742
793,95,4.553876892
795,1,0
796,66,4.189654742
797,66,4.189654742
798,107,4.672828834
799,28,3.33220451
800,128,4.852030264
801,3,1.098612289
802,2,0.693147181
803,4,1.386294361
804,10,2.302585093
805,10,2.302585093
806,13,2.564949357
807,2,0.693147181
813,2,0.693147181
814,63,4.143134726
821,12,2.48490665
822,26,3.258096538
824,2,0.693147181
825,741,6.608000625
832,35,3.555348061
833,3,1.098612289
837,214,5.365976015
844,1084,6.988413182
845,3,1.098612289
860,16,2.772588722
861,134,4.8978398
862,520,6.253828812
863,346,5.846438775
864,56,4.025351691
865,1278,7.153051635
866,303,5.713732806
869,6,1.791759469
870,51,3.931825633
871,10,2.302585093
875,17,2.833213344
876,2,0.693147181
877,6,1.791759469
878,4,1.386294361
879,3,1.098612289
880,4,1.386294361
881,5,1.609437912
897,12,2.48490665
899,2,0.693147181
903,10,2.302585093
904,2,0.693147181
923,2,0.693147181
928,356,5.874930731
930,7,1.945910149
932,72,4.276666119
933,809,6.695798917
934,49,3.891820298
935,204,5.318119994
937,16,2.772588722
939,7,1.945910149
941,755,6.626717749
943,65,4.17438727
948,145,4.976733742
949,5,1.609437912
950,211,5.351858133
962,7,1.945910149
963,11,2.397895273
964,3714,8.219864742
965,5,1.609437912
966,3753,8.230310799
967,15,2.708050201
968,3589,8.185628891
969,66,4.189654742
970,500,6.214608098
971,155,5.043425117
985,49,3.891820298
986,65,4.17438727
987,35,3.555348061
988,1272,7.148345744
989,217,5.379897354
990,49,3.891820298
1003,266,5.583496309
1004,8,2.079441542
1006,89,4.48863637
1008,193,5.262690189
1010,82,4.406719247
1023,2,0.693147181
1024,4,1.386294361
1025,14,2.63905733
1026,390,5.966146739
1027,13,2.564949357
1028,128,4.852030264
1031,66,4.189654742
1032,840,6.733401892
1034,23,3.135494216
1035,92,4.521788577
1038,736,6.601230119
1060,144,4.9698133
1063,194,5.267858159
1064,72,4.276666119
1083,2,0.693147181
1088,2,0.693147181
1092,16,2.772588722
1093,166,5.111987788
1126,29,3.36729583
1127,9,2.197224577
1128,7,1.945910149
1129,10,2.302585093
1130,1,0
1131,39,3.663561646
1138,6,1.791759469
1139,135,4.905274778
1140,48,3.871201011
1144,4,1.386294361
1145,51,3.931825633
1146,51,3.931825633
1147,97,4.574710979
1148,3,1.098612289
1154,3,1.098612289
1158,2,0.693147181
1159,25,3.218875825
1161,31,3.433987204
1163,58,4.060443011
1164,6,1.791759469
1165,26,3.258096538
1169,7,1.945910149
1172,121,4.795790546
1174,1,0
1176,6,1.791759469
1177,6,1.791759469
1178,136,4.912654886
1188,250,5.521460918
1190,9160,9.122601458
1194,75,4.317488114
1195,322,5.774551546
1196,19,2.944438979
1197,626,6.439350371
1199,1,0
1200,6463,8.773848885
1207,21,3.044522438
1209,9,2.197224577
1210,2,0.693147181
1211,9,2.197224577
1215,41,3.713572067
1216,145,4.976733742
1217,3,1.098612289
1218,581,6.364750757
1219,180,5.192956851
1220,2,0.693147181
1221,2,0.693147181
1223,30,3.401197382
1228,14,2.63905733
1238,1,0
1247,33,3.496507561
1248,58,4.060443011
1253,84,4.430816799
1256,60,4.094344562
1260,3,1.098612289
1261,47,3.850147602
1263,121,4.795790546
1264,23,3.135494216
1265,22,3.091042453
1267,20,2.995732274
1268,10,2.302585093
1269,3,1.098612289
1270,114,4.736198448
1272,13,2.564949357
1273,18,2.890371758
1274,13,2.564949357
1277,13,2.564949357
1279,19,2.944438979
1280,13,2.564949357
1283,17,2.833213344
1285,53,3.970291914
1286,18,2.890371758
1290,110,4.700480366
1293,2,0.693147181
1294,94,4.543294782
1306,2,0.693147181
1312,16120,9.687816016
1314,349,5.855071922
1317,2550,7.843848638
1319,102,4.624972813
1320,33,3.496507561
1321,4,1.386294361
1324,18,2.890371758
1327,51,3.931825633
1331,8,2.079441542
1334,19,2.944438979
1336,4036,8.303009381
1341,28703,10.26475693
1346,522,6.257667588
1347,20,2.995732274
1348,63,4.143134726
